Codice ISTAT;Descrizione ISTAT;Ateco description;Codice Completo;Codice Dotless;Codice REA (solo num)
10.12.0;Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi);Production of poultry meat and products of their slaughter (slaughterhouse activities);C.10.12.0;C10120;10120
10.12.00;Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi);Production of poultry meat and products of their slaughter (slaughterhouse activities);C.10.12.00;C101200;101200
10.13;Produzione di prodotti a base di carne (inclusa la carne di volatili);Production of meat products (including poultry meat);C.10.13;C1013;1013
10.13.0;Produzione di prodotti a base di carne (inclusa la carne di volatili);Production of meat products (including poultry meat);C.10.13.0;C10130;10130
10.13.00;Produzione di prodotti a base di carne (inclusa la carne di volatili);Production of meat products (including poultry meat);C.10.13.00;C101300;101300
10.2;LAVORAZIONE E CONSERVAZIONE DI PESCE, CROSTACEI E MOLLUSCHI;PROCESSING AND PRESERVATION OF FISH, CRUSTACEANS AND MOLLUSCS;C.10.2;C102;102
10.20;Lavorazione e conservazione di pesce, crostacei e molluschi;PROCESSING AND PRESERVATION OF FISH, CRUSTACEANS AND MOLLUSCS;C.10.20;C1020;1020
10.20.0;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera;Processing and preservation of fish, crustaceans and molluscs by freezing, salting, etc.;C.10.20.0;C10200;10200
10.20.00;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera;Processing and preservation of fish, crustaceans and molluscs by freezing, salting, etc.;C.10.20.00;C102000;102000
10.3;LAVORAZIONE E CONSERVAZIONE DI FRUTTA E ORTAGGI;PROCESSING AND PRESERVATION OF FRUIT AND VEGETABLES;C.10.3;C103;103
10.31;Lavorazione e conservazione delle patate;Potato processing and storage;C.10.31;C1031;1031
10.31.0;Lavorazione e conservazione delle patate;Potato processing and storage;C.10.31.0;C10310;10310
10.31.00;Lavorazione e conservazione delle patate;Potato processing and storage;C.10.31.00;C103100;103100
10.32;Produzione di succhi di frutta e di ortaggi;Production of fruit and vegetable juices;C.10.32;C1032;1032
10.32.0;Produzione di succhi di frutta e di ortaggi;Production of fruit and vegetable juices;C.10.32.0;C10320;10320
10.32.00;Produzione di succhi di frutta e di ortaggi;Production of fruit and vegetable juices;C.10.32.00;C103200;103200
10.39;Altra Lavorazione e conservazione di frutta e di ortaggi;Other Processing and preservation of fruit and vegetables;C.10.39;C1039;1039
10.39.0;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi);Processing and preservation of fruit and vegetables (except fruit and vegetable juices);C.10.39.0;C10390;10390
10.39.00;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi);Processing and preservation of fruit and vegetables (except fruit and vegetable juices);C.10.39.00;C103900;103900
10.4;PRODUZIONE DI OLI E GRASSI VEGETALI E ANIMALI;PRODUCTION OF VEGETABLE AND ANIMAL OILS AND FATS;C.10.4;C104;104
10.41;Produzione di oli e grassi;Production of oils and fats;C.10.41;C1041;1041
10.41.1;Produzione di olio di oliva da olive prevalentemente non di produzione propria;Production of olive oil from olives mainly not of own production;C.10.41.1;C10411;10411
10.41.10;Produzione di olio di oliva da olive prevalentemente non di produzione propria;Production of olive oil from olives mainly not of own production;C.10.41.10;C104110;104110
10.41.2;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria;Production of refined or crude oil from oilseeds or oil fruits predominantly not of own production;C.10.41.2;C10412;10412
10.41.20;Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria;Production of refined or crude oil from oilseeds or oil fruits predominantly not of own production;C.10.41.20;C104120;104120
10.41.3;Produzione di oli e grassi animali grezzi o raffinati;Production of crude or refined animal oils and fats;C.10.41.3;C10413;10413
10.41.30;Produzione di oli e grassi animali grezzi o raffinati;Production of crude or refined animal oils and fats;C.10.41.30;C104130;104130
10.42;Produzione di margarina e di grassi commestibili simili;Production of margarine and similar edible fats;C.10.42;C1042;1042
10.42.0;Produzione di margarina e di grassi commestibili simili;Production of margarine and similar edible fats;C.10.42.0;C10420;10420
10.42.00;Produzione di margarina e di grassi commestibili simili;Production of margarine and similar edible fats;C.10.42.00;C104200;104200
10.5;INDUSTRIA LATTIERO-CASEARIA;DAIRY INDUSTRY;C.10.5;C105;105
10.51;Industria lattiero-casearia, trattamento igienico, conservazione del latte;Dairy industry, hygienic treatment, milk preservation;C.10.51;C1051;1051
10.51.1;Trattamento igienico del latte;Hygienic treatment of milk;C.10.51.1;C10511;10511
10.51.10;Trattamento igienico del latte;Hygienic treatment of milk;C.10.51.10;C105110;105110
10.51.2;Produzione dei derivati del latte;Production of dairy products;C.10.51.2;C10512;10512
10.51.20;Produzione dei derivati del latte;Production of dairy products;C.10.51.20;C105120;105120
10.52;Produzione di gelati;Ice cream production;C.10.52;C1052;1052
10.52.0;Produzione di gelati senza vendita diretta al pubblico;Production of ice cream without direct sales to the public;C.10.52.0;C10520;10520
10.52.00;Produzione di gelati senza vendita diretta al pubblico;Production of ice cream without direct sales to the public;C.10.52.00;C105200;105200
10.6;LAVORAZIONE DELLE GRANAGLIE, PRODUZIONE DI AMIDI E DI PRODOTTI AMIDACEI;GRAIN PROCESSING, PRODUCTION OF STARCHES AND STARCHY PRODUCTS;C.10.6;C106;106
10.61;Lavorazione delle granaglie;Grain processing;C.10.61;C1061;1061
10.61.1;Molitura del frumento;Wheat milling;C.10.61.1;C10611;10611
10.61.10;Molitura del frumento;Wheat milling;C.10.61.10;C106110;106110
10.61.2;Molitura di altri cereali;Milling of other cereals;C.10.61.2;C10612;10612
10.61.20;Molitura di altri cereali;Milling of other cereals;C.10.61.20;C106120;106120
10.61.3;Lavorazione del riso;Rice processing;C.10.61.3;C10613;10613
10.61.30;Lavorazione del riso;Rice processing;C.10.61.30;C106130;106130
10.61.4;Altre lavorazioni di semi e granaglie;Other seed and grain processing;C.10.61.4;C10614;10614
10.61.40;Altre lavorazioni di semi e granaglie;Other seed and grain processing;C.10.61.40;C106140;106140
10.62;Produzione di amidi e di prodotti amidacei;Production of starches and starch products;C.10.62;C1062;1062
10.62.0;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais);Production of starches and starch products (including production of corn oil);C.10.62.0;C10620;10620
10.62.00;Produzione di amidi e di prodotti amidacei (inclusa produzione di olio di mais);Production of starches and starch products (including production of corn oil);C.10.62.00;C106200;106200
10.7;PRODUZIONE DI PRODOTTI DA FORNO E FARINACEI;PRODUCTION OF BAKERY AND FLOUR PRODUCTS;C.10.7;C107;107
10.71;"Produzione di pane; prodotti di pasticceria freschi";"Bread production; fresh pastry products";C.10.71;C1071;1071
10.71.1;Produzione di prodotti di panetteria freschi;Production of fresh bakery products;C.10.71.1;C10711;10711
10.71.10;Produzione di prodotti di panetteria freschi;Production of fresh bakery products;C.10.71.10;C107110;107110
10.71.2;Produzione di pasticceria fresca;Production of fresh pastries;C.10.71.2;C10712;10712
10.71.20;Produzione di pasticceria fresca;Production of fresh pastries;C.10.71.20;C107120;107120
10.72;"Produzione di fette biscottate e di biscotti; produzione di prodotti di pasticceria conservati";"Production of rusks and biscuits; production of preserved pastry products";C.10.72;C1072;1072
10.72.0;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati";"Production of rusks, biscuits; preserved pastry products";C.10.72.0;C10720;10720
10.72.00;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati";"Production of rusks, biscuits; preserved pastry products";C.10.72.00;C107200;107200
10.73;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili;Production of pasta, couscous and similar farinaceous products;C.10.73;C1073;1073
10.73.0;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili;Production of pasta, couscous and similar farinaceous products;C.10.73.0;C10730;10730
10.73.00;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili;Production of pasta, couscous and similar farinaceous products;C.10.73.00;C107300;107300
10.8;PRODUZIONE DI ALTRI PRODOTTI ALIMENTARI;PRODUCTION OF OTHER FOOD PRODUCTS;C.10.8;C108;108
10.81;Produzione di zucchero;Sugar production;C.10.81;C1081;1081
10.81.0;Produzione di zucchero;Sugar production;C.10.81.0;C10810;10810
10.81.00;Produzione di zucchero;Sugar production;C.10.81.00;C108100;108100
10.82;Produzione di cacao, cioccolato, caramelle e confetterie;Production of cocoa, chocolate, candy and confectionery;C.10.82;C1082;1082
10.82.0;Produzione di cacao in polvere, cioccolato, caramelle e confetterie;Production of cocoa powder, chocolate, candy and confectionery;C.10.82.0;C10820;10820
10.82.00;Produzione di cacao in polvere, cioccolato, caramelle e confetterie;Production of cocoa powder, chocolate, candy and confectionery;C.10.82.00;C108200;108200
10.83;Lavorazione del tè e del caffè;Tea and coffee processing;C.10.83;C1083;1083
10.83.0;Lavorazione del tè e del caffè;Tea and coffee processing;C.10.83.0;C10830;10830
10.83.01;Lavorazione del caffè;Coffee processing;C.10.83.01;C108301;108301
10.83.02;Lavorazione del tè e di altri preparati per infusi;Processing of tea and other infusion preparations;C.10.83.02;C108302;108302
10.84;Produzione di condimenti e spezie;Production of condiments and spices;C.10.84;C1084;1084
10.84.0;Produzione di condimenti e spezie;Production of condiments and spices;C.10.84.0;C10840;10840
10.84.00;Produzione di condimenti e spezie;Production of condiments and spices;C.10.84.00;C108400;108400
10.85;Produzione di pasti e piatti preparati;Production of prepared meals and dishes;C.10.85;C1085;1085
10.85.0;Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati);Production of ready-made meals and dishes (prepared, seasoned, cooked and packaged);C.10.85.0;C10850;10850
10.85.01;Produzione di piatti pronti a base di carne e pollame;Production of ready-made meat and poultry dishes;C.10.85.01;C108501;108501
10.85.02;Produzione di piatti pronti a base di pesce, inclusi fish and chips;Production of ready-made fish-based meals, including fish and chips;C.10.85.02;C108502;108502
10.85.03;Produzione di piatti pronti a base di ortaggi;Production of ready-made vegetable-based dishes;C.10.85.03;C108503;108503
10.85.04;Produzione di pizza confezionata;Production of packaged pizza;C.10.85.04;C108504;108504
10.85.05;Produzione di piatti pronti a base di pasta;Production of ready-made pasta-based meals;C.10.85.05;C108505;108505
10.85.09;Produzione di pasti e piatti pronti di altri prodotti alimentari;Production of ready meals and dishes of other food products;C.10.85.09;C108509;108509
10.86;Produzione di preparati omogeneizzati e di alimenti dietetici;Production of homogenized preparations and dietetic foods;C.10.86;C1086;1086
10.86.0;Produzione di preparati omogeneizzati e di alimenti dietetici;Production of homogenized preparations and dietetic foods;C.10.86.0;C10860;10860
10.86.00;Produzione di preparati omogeneizzati e di alimenti dietetici;Production of homogenized preparations and dietetic foods;C.10.86.00;C108600;108600
10.89;Produzione di prodotti alimentari n.c.a.;Manufacture of food products n.e.c.;C.10.89;C1089;1089
10.89.0;Produzione di prodotti alimentari n.c.a.;Manufacture of food products n.e.c.;C.10.89.0;C10890;10890
10.89.01;Produzione di estratti e succhi di carne;Production of meat extracts and juices;C.10.89.01;C108901;108901
10.89.09;Produzione di altri prodotti alimentari n.c.a.;Manufacture of other food products n.e.c.;C.10.89.09;C108909;108909
10.9;PRODUZIONE DI PRODOTTI PER L'ALIMENTAZIONE DEGLI ANIMALI;PRODUCTION OF ANIMAL FEED PRODUCTS;C.10.9;C109;109
10.91;Produzione di mangimi per l'alimentazione degli animali da allevamento;Production of feed for livestock;C.10.91;C1091;1091
10.91.0;Produzione di mangimi per l'alimentazione degli animali da allevamento;Production of feed for livestock;C.10.91.0;C10910;10910
10.91.00;Produzione di mangimi per l'alimentazione degli animali da allevamento;Production of feed for livestock;C.10.91.00;C109100;109100
10.92;Produzione di prodotti per l'alimentazione degli animali da compagnia;Production of pet food products;C.10.92;C1092;1092
10.92.0;Produzione di prodotti per l'alimentazione degli animali da compagnia;Production of pet food products;C.10.92.0;C10920;10920
10.92.00;Produzione di prodotti per l'alimentazione degli animali da compagnia;Production of pet food products;C.10.92.00;C109200;109200
11;INDUSTRIA DELLE BEVANDE;BEVERAGE INDUSTRY;C.11;C11;11
11.0;INDUSTRIA DELLE BEVANDE;BEVERAGE INDUSTRY;C.11.0;C110;110
11.01;Distillazione, rettifica e miscelatura degli alcolici;Distillation, rectification and blending of spirits;C.11.01;C1101;1101
11.01.0;Distillazione, rettifica e miscelatura degli alcolici;Distillation, rectification and blending of spirits;C.11.01.0;C11010;11010
11.01.00;Distillazione, rettifica e miscelatura degli alcolici;Distillation, rectification and blending of spirits;C.11.01.00;C110100;110100
11.02;Produzione di vini da uve;Production of wines from grapes;C.11.02;C1102;1102
11.02.1;Produzione di vini da tavola e v.q.p.r.d.;Production of table wines and quality wines p.r.d.;C.11.02.1;C11021;11021
11.02.10;Produzione di vini da tavola e v.q.p.r.d.;Production of table wines and quality wines p.r.d.;C.11.02.10;C110210;110210
11.02.2;Produzione di vino spumante e altri vini speciali;Production of sparkling wine and other special wines;C.11.02.2;C11022;11022
11.02.20;Produzione di vino spumante e altri vini speciali;Production of sparkling wine and other special wines;C.11.02.20;C110220;110220
11.03;Produzione di sidro e di altri vini a base di frutta;Production of cider and other fruit-based wines;C.11.03;C1103;1103
11.03.0;Produzione di sidro e di altri vini a base di frutta;Production of cider and other fruit-based wines;C.11.03.0;C11030;11030
11.03.00;Produzione di sidro e di altri vini a base di frutta;Production of cider and other fruit-based wines;C.11.03.00;C110300;110300
11.04;Produzione di altre bevande fermentate non distillate;Production of other non-distilled fermented beverages;C.11.04;C1104;1104
11.04.0;Produzione di altre bevande fermentate non distillate;Production of other non-distilled fermented beverages;C.11.04.0;C11040;11040
11.04.00;Produzione di altre bevande fermentate non distillate;Production of other non-distilled fermented beverages;C.11.04.00;C110400;110400
11.05;Produzione di birra;Beer production;C.11.05;C1105;1105
11.05.0;Produzione di birra;Beer production;C.11.05.0;C11050;11050
11.05.00;Produzione di birra;Beer production;C.11.05.00;C110500;110500
11.06;Produzione di malto;Malt production;C.11.06;C1106;1106
11.06.0;Produzione di malto;Malt production;C.11.06.0;C11060;11060
11.06.00;Produzione di malto;Malt production;C.11.06.00;C110600;110600
11.07;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia;Soft drinks, mineral waters and other bottled waters industry;C.11.07;C1107;1107
11.07.0;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia;Soft drinks, mineral waters and other bottled waters industry;C.11.07.0;C11070;11070
11.07.00;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia;Soft drinks, mineral waters and other bottled waters industry;C.11.07.00;C110700;110700
12;INDUSTRIA DEL TABACCO;TOBACCO INDUSTRY;C.12;C12;12
12.0;INDUSTRIA DEL TABACCO;TOBACCO INDUSTRY;C.12.0;C120;120
12.00;Industria del tabacco;TOBACCO INDUSTRY;C.12.00;C1200;1200
12.00.0;Industria del tabacco;TOBACCO INDUSTRY;C.12.00.0;C12000;12000
12.00.00;Industria del tabacco;TOBACCO INDUSTRY;C.12.00.00;C120000;120000
13;INDUSTRIE TESSILI;TEXTILE INDUSTRIES;C.13;C13;13
13.1;PREPARAZIONE E FILATURA DI FIBRE TESSILI;PREPARATION AND SPINNING OF TEXTILE FIBERS;C.13.1;C131;131
13.10;Preparazione e filatura di fibre tessili;PREPARATION AND SPINNING OF TEXTILE FIBERS;C.13.10;C1310;1310
13.10.0;Preparazione e filatura di fibre tessili;PREPARATION AND SPINNING OF TEXTILE FIBERS;C.13.10.0;C13100;13100
13.10.00;Preparazione e filatura di fibre tessili;PREPARATION AND SPINNING OF TEXTILE FIBERS;C.13.10.00;C131000;131000
13.2;TESSITURA;WEAVING;C.13.2;C132;132
13.20;Tessitura;WEAVING;C.13.20;C1320;1320
13.20.0;Tessitura;WEAVING;C.13.20.0;C13200;13200
13.20.00;Tessitura;WEAVING;C.13.20.00;C132000;132000
13.3;FINISSAGGIO DEI TESSILI;TEXTILE FINISHING;C.13.3;C133;133
13.30;Finissaggio dei tessili;TEXTILE FINISHING;C.13.30;C1330;1330
13.30.0;Finissaggio dei tessili, degli articoli di vestiario e attività similari;Finishing of textiles, clothing and similar activities;C.13.30.0;C13300;13300
13.30.00;Finissaggio dei tessili, degli articoli di vestiario e attività similari;Finishing of textiles, clothing and similar activities;C.13.30.00;C133000;133000
13.9;ALTRE INDUSTRIE TESSILI;OTHER TEXTILE INDUSTRIES;C.13.9;C139;139
13.91;Fabbricazione di tessuti a maglia;Manufacture of knitted fabrics;C.13.91;C1391;1391
13.91.0;Fabbricazione di tessuti a maglia;Manufacture of knitted fabrics;C.13.91.0;C13910;13910
13.91.00;Fabbricazione di tessuti a maglia;Manufacture of knitted fabrics;C.13.91.00;C139100;139100
13.92;Confezionamento di articoli tessili (esclusi gli articoli di abbigliamento);Manufacture of textile articles (excluding clothing);C.13.92;C1392;1392
13.92.1;Confezionamento di biancheria da letto, da tavola e per l'arredamento;Packaging of bed linen, table linen and furnishing linen;C.13.92.1;C13921;13921
